Comment,Designator,Footprint,LCSC,Quantity
2.2nF ±10% 50V,C171,C_0402,C126534,1
4.7nF,"C1,C10,C11,C12,C13,C14,C15,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C32,C33,C34,C35,C36,C37,C38,C39,C4,C40,C41,C42,C43,C44,C46,C48,C49,C5,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C6,C63,C64,C7,C8,C9,C91,C92,C93,C94,C95",C_0402,C1538,62
15.4k 1%,R2,R_0402,C185463,1
AT32F405KxU7-4,U1,QFN-32_4x4mm_ThermalVias,C19273083,1
10k,R1,R_0402,C25744,1
12k,R58,R_0402,C25752,1
12Mhz,Y1,Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm,C2659482,1
22uF ±10% 25V,"C173,C174,C175",C_0603,C2762594,3
4.87k 1%,R3,R_0402,C276272,1
SLSS49E-3,"U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U51,U54,U55,U56,U57,U58,U59,U6,U60,U61,U62,U63,U64,U65,U7,U77,U78,U79,U8,U80,U81,U82,U84,U9",SLSS49E_MX_1U,C5447698,62
Conn_01x04,J1,JST-SR-4,C2905006,1
2.2uH,L1,L_TDK_NLV25_2.5x2.0mm,C3040393,1
100nF,"C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C145,C147,C148,C149,C150,C151,C152,C153,C154,C155,C156,C157,C158,C160,C161,C162,C163,C164,C165,C166,C168,C65,C66,C67,C68,C70,C71,C72,C73,C74,C76,C77,C78,C79,C80,C82,C83,C84,C85,C86,C88,C89,C90",C_0402,C307331,86
TPS62912,U88,Texas_RPU0010A_VQFN-HR-10_2x2mm_P0.5mm,C3198056,1
10uF ±10% 25V,"C169,C170",C_0603,C344022,2
W25Q16JVSS,U87,USON-8-1EP_1.5x1.5mm_P0.4mm_EP0.7x1.3mm,C3646778,1
AT32F423CxU7,"U2,U3,U4,U5",QFN-48_6x6mm_ThermalVias,C41414225,4
1uF,"C69,C75,C81,C87",C_0402,C52923,4
470nF,C172,C_0402,C77003,1
MountingHole,H13,MountingHole_2.2mm_M2_DIN965_Pad,,1
